company,dep_date,arr_date,das,trip,drag,drag_all,drag_date,drag_period,drag_time_s,drag_time_e,time_fished_min,hrs_dec,depth,depth_sd,id_status,com_status,order,family,class,total_catch_cat,total_catch_spp,categories,sci_name,alpha_code,com_name,sample_wt_lbs,total_wt_lbs,cpue
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,No,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Stellifer microps,EFM,Croaker lm,12,51.92,12.98
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,No,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Stellifer rastrifer,EFR,Croaker rm,13,56.25,14.0625
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,No,Pleuronectiformes,Achiridae,Actinopterygii,Discarded catch,Bycatch species,Flat fish,Achirus achirus,HIK,Drab sole,0.32,1.38,0.345
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,Yes,Not applicable,Not applicable,Not applicable,Incidental catch,Bycatch species,Bony fish,Multiple species finfish,Not applicable,Finfish,0,10.83,2.7075
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Cynoscion jamaicensis,YNJ,Jamaica weakfish,0.01,0.01,0.0025
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,No,Unknown,Unknown,Unknown,Discarded catch,Bycatch species,Other,Scyphozoa sp.,NA,Jelly fish,0.4,1.73,0.4325
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,No,Myliobatiformes,Dasyatidae,Elasmobranchii,Discarded catch,Bycatch species,Flat fish,Dasyatis guttata,RDU,Longnose stingray,0.8,0.8,0.2
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,No,Stomatopoda,Squillidae,Malacostraca,Discarded catch,Bycatch species,Shell fish,Squilla mantis,MTS,Mantis shrimp,0.3,1.3,0.325
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,Yes,Not applicable,Not applicable,Not applicable,Incidental catch,Bycatch species,Shell fish,Multiple species prawns,Not applicable,Prawns,0,3,0.75
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,Yes,Perciformes,Ephippidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Chaetodipterus faber,HRF,Sea donkey,4.5,19.47,4.8675
